caves_id;WKT;name
0;POINT (417238.397216319 5454820.12597358);Jaskinia Mylna (otw. płn.) wyjście
1;POINT (417628.922590073 5455855.16795195);Jaskinia Mroźna wyjście
2;POINT (417164.330295164 5454688.28784336);Jaskinia Mylna (wejście)
3;POINT (417164.235192855 5454740.51608636);Jaskinia Raptawicka
4;POINT (417809.011448144 5456106.09268938);Jaskinia Mroźna wejście
5;POINT (417560.536918526 5455911.57659195);Jaskinia Naciekowa
6;POINT (417645.821793602 5455765.97272374);Dziurawa Koleba
7;POINT (417568.747941676 5454514.47408251);Smocza Jama
8;POINT (417323.090032514 5454755.16275528);Jaskinia Wodna pod Raptawicką
9;POINT (417359.38468617 5454796.97075434);Jaskinia Wodna pod Pisaną
10;POINT (420770.808252483 5454884.41579672);Jaskinia pod Wantą
11;POINT (421007.669957615 5454538.58052161);Jaskinia Litworowa Wielka
12;POINT (419989.625846011 5454647.40368573);Jaskinia Marmurowa
13;POINT (419561.504112796 5455318.51780662);Miętusia Wyżnia
14;POINT (421855.927310065 5454712.00620332);Wielka Śnieżna (otw. Śnieżna)
15;POINT (421588.426273177 5454856.59793103);Jaskinia Śnieżna Studnia
16;POINT (420290.99059385 5454727.64800193);Ptasia Studnia
17;POINT (419863.820230427 5455410.11007743);Jaskinia Miętusia
18;POINT (423097.608071624 5458236.45192632);Dziura
19;POINT (431169.829006766 5449299.8329549);Studnia w Mnichu
20;POINT (420964.350774586 5454001.43269216);Litworowa Studnia
21;POINT (420453.563492293 5453805.54346528);Szczelina w Krzesanicy
22;POINT (412926.566390265 5458093.85179101);Schron w Wielkich Koryciskach
23;POINT (413807.582292403 5456802.05225793);Schron w skale Kmietowicza I
24;POINT (413810.186228267 5456748.06012021);Schron w skale Kmietowicza II
25;POINT (414075.046600591 5456274.41244192);Schron w Międzyścianach I
26;POINT (414112.668454981 5456245.40397305);Schron w Międzyścianach II
27;POINT (414135.666483191 5456218.18065388);Schron w Międzyścianach III
28;POINT (414315.168586652 5455897.12427371);Schron przy Ścianach
29;POINT (413781.539859521 5455937.46015013);Dziura nad Potokiem
30;POINT (413526.305120568 5455653.0275145);Zbójecka Dziura
31;POINT (413597.751450799 5455577.31654046);Jaskinia Rybia I
32;POINT (413721.472875628 5455523.28138486);Jaskinia w Dudzińcu
33;POINT (413451.222395042 5455419.1213447);Kamienne Mleko I
34;POINT (413480.086475319 5455434.37926334);Kamienne Mleko II
35;POINT (413539.168006653 5455469.05517521);Szczelina I
36;POINT (413524.696559751 5455489.48645969);Szczelina II
37;POINT (413524.226830454 5455475.80586411);Jaskinia Mała
38;POINT (413564.11247478 5455493.88217573);Jaskinia Rybia II
39;POINT (413161.27279749 5455185.07674615);Dziura w Zawiesistej
40;POINT (415038.589457932 5455364.75726463);Dudowe Studnie
41;POINT (415238.579119985 5455354.30184757);Jaskinia pod Baranami
42;POINT (415560.044830117 5455329.9244194);Szemrzący Schron
43;POINT (415167.89439058 5454804.08486201);Jaskinia Troista
44;POINT (415199.945243466 5454818.39084974);Schronisko przy Troistej II
45;POINT (415963.518966025 5454378.32418071);Szczelina w Smytniej
46;POINT (415622.199292142 5455038.28005444);Jaskinia pod Głazem
47;POINT (415569.077361896 5455053.10485019);Jaskinia w Kasówkach
48;POINT (415549.479460189 5455066.41502621);Jaskinia Skośna
49;POINT (415561.740487357 5455129.61793983);Lejowa Szczelina
50;POINT (415576.927263378 5455095.94933935);Jaskinia Skośna II
51;POINT (415587.390467158 5455169.64311596);Schronisko przy Suchym Biwaku
52;POINT (415664.570771425 5455179.45706348);Bandzioch Kominiarski (otw. grn.)
53;POINT (415679.554446783 5455118.71644148);Tylkowa Szczelina
54;POINT (415747.537668133 5455054.6181339);Jaskinia Smytnia
55;POINT (416016.931651974 5455067.9032052);Jaskinia pod Kapliczką
56;POINT (416196.916762781 5455057.75480464);Jaskinia Ślimacza
57;POINT (416243.229753599 5455010.64935822);Bandzioch Kominiarski (otw. dln.)
58;POINT (416284.41228491 5455100.54463425);Nisza Zachodnia
59;POINT (416246.967436203 5455149.60523329);Szczelina przy Zawieszonej Skale Pierwsze
60;POINT (416261.48549034 5455163.11662241);Szczelina przy Zawieszonej Skale Drugie
61;POINT (416395.440433753 5454767.83776928);Jaskinia Nowa nad Raptawicką Granią
62;POINT (417030.110402952 5454612.76374076);Jaskinia przy Żlebie
63;POINT (417038.293362615 5454622.39195747);Szczelina nad Żlebem
64;POINT (417144.392786036 5454664.84840231);Okno Pawlikowskiego I (Mylna)
65;POINT (417153.327484551 5454668.32768004);Okno Pawlikowskiego II (Mylna)
66;POINT (417162.256548189 5454674.82035573);Okno Pawlikowskiego III (Mylna)
67;POINT (417823.537942011 5454364.65978658);Jaskinia pod Oknem
68;POINT (417307.819982354 5454619.2488944);Jaskinia Ziobrowa I
69;POINT (417317.01508207 5454691.94139564);Wyzior I
70;POINT (417329.340466212 5454691.90085017);Wyzior II
71;POINT (417323.251690094 5454597.21243317);Jaskinia Ziobrowa II
72;POINT (418020.630406794 5454179.10109799);Jaskinia Ciasna
73;POINT (417553.289805788 5454509.05700847);Dziura pod Smoczą Jamą
74;POINT (418105.679033153 5454436.87785871);Gawra
75;POINT (418108.412074309 5454415.52183531);Jaskinia Jagnięca
76;POINT (418193.797862015 5454317.21591535);Jaskinia nad Zachodem
77;POINT (418314.116973699 5454220.56128854);Jaskinia pod Okapem
78;POINT (418148.587358006 5454160.29645966);Jaskinia z Mostami
79;POINT (418089.578258569 5454147.43070295);Jaskinia pod Ścieżką
80;POINT (417939.080460882 5453968.97448432);Jaskinia Psia
81;POINT (418346.233406899 5453963.71156856);Ptasi Schron
82;POINT (418237.382585082 5454038.24586071);Krakowska Piwnica
83;POINT (417750.713408762 5454310.05136095);Jaskinia Owcza
84;POINT (417421.235242184 5454397.22027932);Dziura ze Znakiem
85;POINT (417338.324607553 5454368.44265151);Dzwonnica
86;POINT (417303.167819391 5454235.81851193);Jaskinia za Smrekiem
87;POINT (417388.152227784 5454228.44949988);Dziura w Ścianie
88;POINT (417299.743426407 5454182.34226528);Jaskinia Przeziorowa
89;POINT (417894.151657637 5455250.84765989);Jaskinia Czarna
90;POINT (417615.086622355 5455684.58444454);Wyżnie Zamczysko
91;POINT (417589.761424396 5455620.85040691);Niżnie Zamczysko
92;POINT (417043.044000977 5455557.38935073);Wielka Szczelina
93;POINT (417643.983302601 5455724.34779216);Okno Zbójnickie Wyżnie
94;POINT (417580.400007101 5455779.78361143);Jaskinia Zimna
95;POINT (417242.671848911 5456036.89069578);Wyżnia Jaskinia nad Mostkiem
96;POINT (417326.692520064 5456005.50588808);Niżnia Jaskinia nad Mostkiem
97;POINT (417632.950424576 5455760.9838065);Okna Zbójeckie Niżnie
98;POINT (417470.402480865 5456250.87320464);Dziurawiec
99;POINT (418643.371516365 5455530.59924742);Jaskinia Zakopiańska
100;POINT (418557.992371752 5457819.86009693);Wyżnia Dziura Stanikowa
101;POINT (418388.635218871 5457429.99710076);Dziura w Kończystej Turni
102;POINT (418350.308700922 5457424.66159389);Niżnia w Kończystej
103;POINT (418586.271593842 5457844.65968888);Niżnia Dziura Stanikowa
104;POINT (419550.792585969 5455313.8153181);Jaskinia w Małej Świstówce
105;POINT (419800.686333663 5454897.02901338);Korytarz nad Dziurawem
106;POINT (419722.487318599 5455278.21823363);Piwnica Miętusia
107;POINT (419611.156993748 5455177.85895147);Studnia w Małej Świstówce
108;POINT (419743.255246938 5454995.04653223);Studnia w Dziurawem
109;POINT (419668.507882587 5454964.39188317);Dziura nad Studnią
110;POINT (419838.237526565 5454869.54062634);Jaskinia przy Grzędzie
111;POINT (419903.750780436 5454677.80649542);Jaskinia pod Wierchem
112;POINT (419886.160345484 5454814.32632876);Zawaliskowy Korytarz
113;POINT (419942.689408409 5454764.11319767);Krucha Szczelina
114;POINT (419933.641676856 5454745.70933346);Zielone Kominy
115;POINT (419963.943502468 5454734.76122928);Zielone Kominy II
116;POINT (419875.363565321 5454572.69984771);Jaskinie w Szerokiem
117;POINT (420116.811992165 5454632.09162852);Jaskinia Lodowa Mułowa
118;POINT (420250.924271045 5454787.28139564);Jaskinia przy progu Mułowym
119;POINT (418738.052000828 5453835.63896389);Lustrzana Szczelina
120;POINT (418921.254636663 5453970.95972517);Studnia Kuturniańska
121;POINT (418792.653209587 5454084.24574181);Jaskinia Pośrednia
122;POINT (418807.165070655 5454074.88073613);Jaskinia za Siedmiu Progami
123;POINT (419013.048946253 5453825.21664186);Lodowa Krakowska
124;POINT (419356.161982546 5454045.73143941);Lodowa w Ciemniaku
125;POINT (419602.019320623 5454202.60641081);Jaskinia Zawaliskowa w Szerokiem
126;POINT (420345.63321986 5454800.85421616);Jaskinia Lodowa Litworowa
127;POINT (420322.823515601 5454846.58326849);Korytarz nad Piargiem
128;POINT (420526.105791584 5454844.38983623);Jaskinia Barania
129;POINT (420347.442402424 5455014.94708159);Bliźniaczy Komin
130;POINT (420962.807477829 5454787.09997454);Jaskinia w Trawie
131;POINT (420926.663181379 5454772.04130023);Dziura w Litworowej
132;POINT (420926.400356507 5455054.80110985);Niebieska Studnia
133;POINT (421039.860676665 5454630.69541234);Jaskinia Wyżnia Litworowa
134;POINT (421189.28819223 5455041.34647641);Awen w Ratuszu
135;POINT (421397.047220821 5455007.06492908);Maćkowa Dziura
136;POINT (421410.690661968 5454869.43965361);Jaskinia z Dolomitami
137;POINT (421803.568843681 5454774.12623061);Bliźniacza Studnia
138;POINT (421551.864380516 5454913.73657844);Upłazkowa
139;POINT (421634.29320899 5454914.03025891);Jędrusiowa Dziura
140;POINT (421670.377760809 5454889.79996437);Jaskinia przy Jędrusiowej Dziurze
141;POINT (421649.099266023 5454881.18536683);Przy Przechodzie
142;POINT (421677.462652415 5454820.30575582);Świstowa Studnia
143;POINT (421931.224884354 5454561.91078424);Zaspałkowa Szczelina
144;POINT (421483.980820086 5454651.05147924);Wielka Śnieżna (otw. Jasny Awen)
145;POINT (421552.893045274 5454695.22321168);Dziura Małołącka Mała
146;POINT (422110.062993025 5454603.09742086);Koprowa Studnia
147;POINT (421434.031259863 5454676.13683159);Królicza Jama
148;POINT (421445.267745279 5454632.96833831);Wielka Śnieżna (otw. nad Kotlinami)
149;POINT (422012.371964494 5455016.63719027);Lodowa Małołącka
150;POINT (421496.395103879 5454590.88765368);Jaskinia Małołącka
151;POINT (421436.608718706 5454590.43955155);Jaskinia Omszała
152;POINT (422014.733073805 5455056.37619777);Mnichowa Studnia
153;POINT (422086.953915284 5455058.26668725);Wyżnia Mnichowa Studnia
154;POINT (422047.48151207 5455301.84114151);Pomarańczarnia
155;POINT (422043.742711487 5455316.94914477);Chuda Mnichowa Studnia
156;POINT (421922.105572845 5455304.34088418);Jaskinia za Mnichem
157;POINT (421649.49345213 5455821.19941017);Jaskinia Śpiących Rycerzy
158;POINT (421654.323898996 5455857.31178712);Jaskinia Śpiących Rycerzy Wyżnia
159;POINT (422166.229411176 5456189.99897893);Nyża pod Brzózką
160;POINT (422165.54749313 5456243.1572357);Szczelina w Żlebie Kirkora
