"district_id","museum_id"
"7","0"
"7","1"
"7","2"
"7","3"
"7","4"
"7","5"
"7","6"
"2","7"
"8","8"
"7","9"
"7","10"
"7","11"
"7","12"
"7","13"
"4","14"
"7","15"
"14","17"
"11","18"
"3","20"
"7","21"
"7","22"
"7","23"
"7","24"
"10","26"
"3","27"
"8","28"
"7","29"
"4","30"
"7","31"
"7","32"
"9","33"
"1","34"
"7","35"
"2","37"
"7","40"
"7","41"
"12","42"
"7","43"
"7","47"
"2","49"
"7","51"
"12","54"
"7","55"
"3","56"
"0","57"
"7","58"
"2","59"
"7","60"
"7","62"
"9","63"
"7","65"
"4","67"
"4","68"
"7","69"
"8","70"
"7","71"
"8","72"
"7","73"
"7","74"
"7","75"
"7","76"
"12","77"
"2","79"
"3","81"
"12","82"
"12","83"
"12","84"
"7","85"
"7","86"
"7","87"
"4","88"
"7","91"
"7","94"
"2","95"
"8","96"
"2","97"
"7","98"
"7","99"
"7","101"
"16","102"
"12","105"
"7","106"
"7","107"
"11","108"
"12","109"
"7","110"
"2","111"
"12","112"
"7","113"
"4","114"
