path_id;peaks_id
16;201
19;166
65;17
87;201
166;20
188;65
267;65
268;65
339;201
400;65
401;65
600;65
856;201
952;206
958;23
962;81
963;23
964;22
1142;186
1232;22
1233;22
1234;22
1243;56
1287;102
1287;244
1695;410
1695;412
1756;8
1768;160
1769;160
1770;14
1771;14
1773;11
;0
;2
;3
;4
;5
;6
;7
;9
;10
;12
;13
;15
;16
;21
;24
;27
;29
;30
;31
;32
;33
;35
;37
;38
;42
;43
;47
;49
;52
;55
;58
;60
;64
;67
;71
;73
;76
;79
;87
;94
;95
;97
;131
;142
;143
;144
;146
;148
;149
;151
;153
;157
;158
;161
;162
;171
;175
;177
;179
;180
;181
;183
;184
;187
;188
;189
;190
;191
;192
;193
;194
;196
;197
;198
;200
;207
;208
;209
;210
;214
;243
;252
;253
;254
;255
;256
;257
;259
;265
;285
;382
;383
;384
;385
;386
;387
;389
;390
;396
;397
;398
;399
;400
;404
;409
;418
;422
;429
;483
